AB_Improved,AB_Custom,AB_Custom2,AB_Custom3,Batch
61.4,52.9,58.6,65.7,2
54.3,55.7,61.4,57.1,2
62.9,58.6,65.7,58.6,2
60,61.4,55.7,51.4,2
60,61.4,71.4,65.7,3
55.7,52.9,52.9,62.9,3
68.6,54.3,64.3,52.9,3
65.7,58.6,61.4,62.9,3
51.4,58.6,61.4,61.4,3
61.4,61.4,64.3,55.7,3
61.4,52.9,61.4,64.3,3
65.7,57.1,72.9,64.3,3
61.4,55.7,57.1,61.4,3
67.1,54.3,61.4,70,3
65.7,51.4,55.7,67.1,4
60,54.3,64.3,65.7,4
70,51.4,64.3,55.7,4
57.1,60,62.9,55.7,4
64.3,60,62.9,67.1,4
62.9,57.1,62.9,54.3,4
64.3,64.3,68.6,55.7,4
61.4,51.4,55.7,64.3,4
62.9,55.7,68.6,68.6,4
67.1,55.7,61.4,68.6,4
62.9,58.6,62.9,68.6,5
61.4,51.4,58.6,65.7,5
67.1,64.3,54.3,61.4,5
57.1,51.4,62.9,65.7,5
62.9,44.3,68.8,71.4,5
64.3,62.9,64.3,62.9,5
61.4,48.6,64.3,70,5
61.4,51.4,67.1,72.9,5
62.9,65.7,60,68.6,5
62.9,48.6,58.6,64.3,5
70,60,61.4,55.7,6
72.9,58.6,67.1,65.7,6
65.7,57.1,61.4,61.4,6
67.1,52.9,62.9,62.9,6
64.3,61.4,67.1,65.7,6
64.3,64.3,57.1,64.3,6
60,60,62.9,58.6,6
57.1,61.4,71.4,60,6
67.1,60,61.4,65.7,6
67.1,57.1,60,61.4,6
61.4,58.6,65.7,64.3,7
67.1,52.9,62.9,68.6,7
60,58.6,60,61.4,7
57.1,60,60,57.1,7
60,54.3,65.7,60,7
57.1,58.6,61.4,64.3,7
62.9,52.9,64.3,62.9,7
65.7,62.9,58.6,61.4,7
60,64.3,68.6,62.9,7
60,51.4,65.7,65.7,7
58.6,55.7,68.6,58.6,9
64.3,58.6,67.1,71.4,9
64.3,60,64.3,55.7,9
71.4,54.3,67.1,61.4,9
64.3,52.9,68.6,60,9
57.1,61.4,78.6,61.4,9
64.3,58.6,67.1,61.4,9
62.9,62.9,64.3,57.1,9
60,67.1,67.1,61.4,9
74.3,57.1,64.3,67.1,9
65.7,62.9,61.4,64.3,10
65.7,61.4,62.9,55.7,10
71.4,62.9,68.6,65.7,10
62.9,45.7,57.1,60,10
67.1,50,72.9,67.1,10
62.9,57.1,68.6,70,10
62.9,52.9,64.3,70,10
60,55.7,72.9,65.7,10
62.9,62.9,75.7,67.1,10
67.1,55.7,55.7,60,10
57.1,60,61.4,67.1,11
67.1,60,54.3,58.6,11
74.3,57.1,64.3,71.4,11
60,58.6,60,58.6,11
68.6,52.9,71.4,60,11
70,68.6,64.3,65.7,11
64.3,61.4,61.4,61.4,11
60,60,64.3,64.3,11
65.7,58.6,64.3,64.3,11
64.3,51.4,55.7,70,11
74.3,58.6,61.4,70,12
54.3,62.9,67.1,65.7,12
72.9,60,61.4,67.1,12
65.7,52.9,68.6,62.9,12
61.4,58.6,64.3,64.3,12
62.9,55.7,58.6,61.4,12
62.9,48.6,61.4,61.4,13
64.3,64.3,65.7,60,13
62.9,57.1,54.3,68.6,13
60,54.3,65.7,58.6,13
67.1,67.1,67.1,61.4,13
62.9,67.1,55.7,68.6,13
61.4,57.1,64.3,70,13
62.9,54.3,61.4,58.6,13
67.1,68.6,61.4,70,13
58.6,58.6,62.9,61.4,13
61.4,52.9,57.1,55.7,14
70,61.4,65.7,58.6,14
61.4,60,71.4,61.4,14
72.9,55.7,62.9,67.1,14
62.9,65.7,65.7,58.6,14
68.6,54.3,64.3,64.3,14
68.6,57.1,60,68.6,14
68.6,57.1,72.9,62.9,14
65.7,61.4,67.1,67.1,14
64.3,60,67.1,64.3,14
62.9,61.4,68.6,62.9,15
70,61.4,67.1,65.7,15
55.7,62.9,71.4,64.3,15
68.6,61.4,74.3,61.4,15
57.1,58.6,68.6,67.1,15
71.4,52.9,60,68.6,15
74.3,60,60,62.9,15
64.3,61.4,65.7,67.1,15
70,61.4,70,67.1,15
71.4,54.3,67.1,65.7,15
62.9,52.9,62.9,67.1,16
70,57.1,65.7,62.9,16
55.7,57.1,58.6,64.3,16
60,60,60,64.3,16
67.1,51.4,57.1,70,16
64.3,55.7,65.7,65.7,16
50,54.3,58.6,60,16
55.7,55.7,61.4,64.3,16
64.3,50,67.1,62.9,16
61.4,57.1,62.9,64.3,16
68.6,58.6,60,65.7,17
60,57.1,67.1,65.7,17
67.1,54.3,61.4,55.7,17
55.7,57.1,72.9,62.9,17
64.3,57.1,71.4,58.6,17
62.9,61.4,65.7,54.3,17
62.9,55.7,70,62.9,17
64.3,60,64.3,58.6,17
58.6,51.4,62.9,68.6,17
65.7,47.1,64.3,61.4,17
62.9,55.7,65.7,67.1,18
62.9,55.7,67.1,64.3,18
65.7,57.1,67.1,61.4,18
67.1,68.6,57.1,67.1,18
58.6,57.1,62.9,70,18
58.6,62.9,62.9,64.3,18
67.1,58.6,72.9,65.7,18
67.1,60,67.1,65.7,18
55.7,60,67.1,65.7,18
68.6,61.4,61.4,67.1,18
61.4,64.3,62.9,57.1,19
55.7,61.4,58.6,68.6,19
65.7,52.9,61.4,57.1,19
61.4,51.4,75.7,65.7,19
65.7,61.4,61.4,62.9,19
64.3,58.6,62.9,67.1,19
62.9,52.9,64.3,68.6,19
67.1,54.3,58.6,64.3,19
65.7,61.4,64.3,57.1,19
64.3,64.3,61.4,55.7,19
67.1,65.7,65.7,64.3,20
62.9,48.6,67.1,58.6,20
67.1,51.4,65.7,64.3,20
64.3,51.4,65.7,65.7,20
64.3,64.3,67.1,75.7,20
60,58.6,58.6,68.6,20
61.4,57.1,64.3,61.4,20
72.9,54.3,70,60,20
72.9,58.6,62.9,61.4,20
67.1,64.3,55.7,71.4,20
68.6,58.6,65.7,64.3,21
70,67.1,64.3,64.3,21
64.3,64.3,68.6,67.1,21
62.9,58.6,64.3,67.1,21
58.6,60,55.7,67.1,21
64.3,62.9,65.7,58.6,21
60,60,72.9,61.4,21
68.6,45.7,64.3,67.1,21
62.9,51.4,61.4,61.4,21
65.7,60,71.4,60,21
65.7,57.1,70,67.1,22
57.1,52.9,72.9,64.3,22
61.4,58.6,71.4,57.1,22
60,54.3,68.6,58.6,22
60,67.1,61.4,71.4,22
64.3,62.9,58.6,67.1,22
67.1,55.7,68.6,65.7,22
62.9,62.9,67.1,65.7,22
67.1,60,61.4,64.3,22
54.3,61.4,61.4,70,22
61.4,67.1,68.6,62.9,23
62.9,65.7,67.1,65.7,23
60,51.4,65.7,70,23
58.6,54.3,68.6,61.4,23
72.9,58.6,65.7,62.9,23
67.1,52.9,67.1,64.3,23
61.4,67.1,65.7,64.3,23
64.3,54.3,61.4,62.9,23
62.9,55.7,67.1,62.9,23
64.3,60,67.1,62.9,23
67.1,62.9,65.7,64.3,24
67.1,54.3,65.7,61.4,24
65.7,55.7,61.4,67.1,24
70,55.7,62.9,65.7,24
60,64.3,71.4,58.6,24
61.4,57.1,65.7,70,24
65.7,47.1,61.4,72.9,24
58.6,60,58.6,62.9,24
72.9,60,50,57.1,24
65.7,60,55.7,68.6,24
60,51.4,62.9,64.3,25
68.6,64.3,64.3,68.6,25
65.7,52.9,70,55.7,25
68.6,55.7,61.4,71.4,25
64.3,57.1,61.4,58.6,25
68.6,61.4,65.7,68.6,25
58.6,54.3,62.9,64.3,25
68.6,60,68.6,64.3,25
60,60,67.1,67.1,25
62.9,57.1,67.1,67.1,25
57.1,58.6,52.9,64.3,26
62.9,65.7,61.4,65.7,26
61.4,58.6,65.7,64.3,26
58.6,67.1,65.7,58.6,26
62.9,61.4,65.7,61.4,26
65.7,67.1,67.1,62.9,26
60,57.1,61.4,61.4,26
64.3,60,60,65.7,26
62.9,58.6,64.3,64.3,26
64.3,58.6,55.7,58.6,26
75.7,55.7,58.6,62.9,27
68.6,47.1,70,68.6,27
68.6,52.9,68.6,65.7,27
62.9,58.6,62.9,67.1,27
61.4,55.7,64.3,61.4,27
71.4,55.7,67.1,71.4,27
55.7,67.1,77.1,65.7,27
65.7,57.1,62.9,58.6,27
61.4,55.7,57.1,60,27
58.6,57.1,62.9,65.7,27
65.7,64.3,65.7,64.3,28
60,65.7,68.6,65.7,28
74.3,62.9,65.7,64.3,28
67.1,57.1,68.6,57.1,28
65.7,57.1,62.9,64.3,28
68.6,58.6,67.1,64.3,28
67.1,57.1,65.7,68.6,28
64.3,65.7,64.3,65.7,28
58.6,55.7,61.4,57.1,28
67.1,57.1,68.6,61.4,28
68.6,55.7,61.4,55.7,29
68.6,61.4,65.7,65.7,29
61.4,61.4,64.3,65.7,29
68.6,61.4,61.4,68.6,29
68.6,58.6,72.9,68.6,29
65.7,57.1,55.7,61.4,29
64.3,57.1,71.4,71.4,29
65.7,61.4,58.6,64.3,29
67.1,64.3,64.3,58.6,29
64.3,52.9,60,62.9,29
61.4,58.6,60,65.7,30
65.7,60,65.7,68.6,30
60,67.1,71.4,62.9,30
61.4,58.6,62.9,60,30
64.3,54.3,64.3,60,30
68.6,62.9,64.3,58.6,30
65.7,61.4,58.6,64.3,30
58.6,52.9,67.1,62.9,30
71.4,60,65.7,61.4,30
65.7,51.4,64.3,67.1,30
57.1,47.1,62.9,67.1,31
64.3,57.1,62.9,62.9,31
60,61.4,65.7,62.9,31
57.1,57.1,72.9,58.6,31
68.6,61.4,60,61.4,31
62.9,54.3,57.1,64.3,31
71.4,61.4,67.1,70,31
68.6,60,54.3,64.3,31
61.4,55.7,70,58.6,31
67.1,58.6,62.9,57.1,31
64.3,60,61.4,67.1,32
68.6,68.6,61.4,67.1,32
62.9,52.9,62.9,64.3,32
71.4,61.4,67.1,68.6,32
61.4,58.6,70,60,32
65.7,65.7,62.9,62.9,32
67.1,58.6,65.7,61.4,32
65.7,51.4,62.9,60,32
65.7,54.3,75.7,65.7,32
60,62.9,72.9,67.1,32
67.1,57.1,60,54.3,33
61.4,60,68.6,65.7,33
58.6,55.7,74.3,61.4,33
65.7,65.7,62.9,62.9,33
62.9,67.1,65.7,65.7,33
58.6,60,71.4,57.1,33
61.4,61.4,61.4,67.1,33
58.6,62.9,55.7,62.9,33
65.7,65.7,77.1,64.3,33
61.4,58.6,70,64.3,33
52.9,52.9,65.7,61.4,34
74.3,55.7,72.9,61.4,34
61.4,62.9,70,62.9,34
65.7,54.3,64.3,55.7,34
62.9,61.4,64.3,60,34
64.3,54.3,61.4,67.1,34
60,50,61.4,68.6,34
72.9,57.1,62.9,58.6,34
68.6,52.9,57.1,65.7,34
67.1,62.9,64.3,64.3,34
64.3,51.4,61.4,64.3,35
55.7,62.9,71.4,58.6,35
58.6,60,74.3,60,35
65.7,54.3,64.3,64.3,35
61.4,50,60,51.4,35
70,58.6,68.6,64.3,35
60,58.6,60,65.7,35
60,50,55.7,60,35
60,62.9,60,64.3,35
67.1,57.1,58.6,62.9,35
68.6,54.3,60,64.3,36
62.9,61.4,65.7,62.9,36
57.1,54.3,64.3,54.3,36
57.1,58.6,52.9,67.1,36
57.1,58.6,64.3,60,36
54.3,58.6,68.6,67.1,36
65.7,55.7,61.4,61.4,36
67.1,55.7,70,67.1,36
71.4,60,61.4,58.6,36
58.6,60,68.6,60,36
